# All type-0x1a secondary-renderer calls from one controlled Endokuken impact. Rows retain the original object-pass order; coordinates are normalized from the alternating 320x240 framebuffer banks.
tick,framebuffer_bank,pass_index,object,token,frame_pointer,source_offset,destination_x,destination_y,x_direction,y_direction,x_scale,x_remainder,y_accumulator,y_scale,output_rows
16,0,1,8808be00,06,88097898,0008,268,135,1,-1,10f0,0000,1a6a,141d,27
17,1,0,8808c000,0c,88097fec,0008,270,125,1,-1,10fe,0e6c,22a3,1a8c,44
17,1,1,8808be00,07,880979c8,0008,268,134,1,-1,10f1,0076,14d2,14a5,25
18,0,0,8808c000,0d,880981a0,0008,272,126,1,-1,1100,04d0,29cf,1b18,50
18,0,1,8808be00,07,880979c8,0008,269,134,1,-1,10f2,026c,1fd1,152e,26
19,1,0,8808c000,0d,880981a0,0008,273,124,1,-1,1101,0bc2,1c65,1ba1,51
19,1,1,8808be00,08,88097aec,0008,270,134,1,-1,10f3,04d2,15c9,15b7,27
19,1,2,8808bf00,04,88097670,0008,257,136,1,-1,10ec,07a8,1207,1173,19
20,0,0,8808c000,0e,88098394,0008,273,129,1,-1,1103,0110,2b03,1c2c,54
20,0,1,8808be00,08,88097aec,0008,271,134,1,-1,10f4,07a8,218f,1640,27
20,0,2,8808bf00,04,88097670,0008,258,136,1,-1,10ed,060e,1997,11fb,20
21,1,0,8808c000,0e,88098394,0008,274,127,1,-1,1105,08c0,1d37,1cb8,55
21,1,1,8808be00,09,88097c30,0008,271,133,1,-1,10f5,09e9,1e15,16c9,29
21,1,2,8808bf00,05,88097778,0008,260,137,1,-1,10ee,05c2,1f4b,1284,23
22,0,0,8808c000,0f,880985b8,0008,277,128,1,-1,1106,01c6,22e3,1d42,62
22,0,1,8808be00,09,88097c30,0008,272,132,1,-1,10f7,0d53,1b31,1753,30
22,0,2,8808bf00,05,88097778,0008,261,136,1,-1,10ee,04d2,17bc,130b,23
23,1,0,8808c000,0f,880985b8,0008,278,127,1,-1,1108,0a18,25db,1dce,63
23,1,1,8808be00,0a,88097d50,0008,274,130,1,-1,10f8,0128,20d3,17dc,34
23,1,2,8808bf00,06,88097898,0008,262,136,1,-1,10ef,0429,20bb,1394,26
24,0,0,8808c000,10,88098808,0008,276,130,1,-1,110a,0f8c,2cdf,1e59,72
24,0,1,8808be00,0a,88097d50,0008,275,129,1,-1,10f9,053d,1fe2,1865,35
24,0,2,8808bf00,06,88097898,0008,263,135,1,-1,10f0,03c0,1a6a,141d,27
25,1,0,8808c000,10,88098808,0008,278,128,1,-1,110b,086a,203f,1ee3,73
25,1,1,8808be00,0b,88097ea4,0008,275,125,1,-1,10fa,0888,2166,18ef,34
25,1,2,8808bf00,07,880979c8,0008,263,134,1,-1,10f1,02b6,14d2,14a5,25
26,0,0,8808c000,10,88098808,0008,280,127,1,-1,110d,0176,243f,1f6f,74
26,0,1,8808be00,0b,88097ea4,0008,276,124,1,-1,10fc,0d00,22c9,197a,35
26,0,2,8808bf00,07,880979c8,0008,264,134,1,-1,10f2,02bc,1fd1,152e,26
27,1,0,8808c000,11,88098ab4,0008,280,132,1,-1,110f,09a3,28db,1ffc,81
27,1,1,8808be00,0c,88097fec,0008,275,126,1,-1,10fd,0fba,20e4,1a03,43
27,1,2,8808bf00,08,88097aec,0008,265,134,1,-1,10f3,02f2,15c9,15b7,27
27,1,3,8808c100,04,88097670,0008,255,135,1,-1,0ece,0cd4,12f7,0f55,17
28,0,0,8808c000,11,88098ab4,0008,282,131,1,-1,1111,030d,2c87,2088,83
28,0,1,8808be00,0c,88097fec,0008,277,125,1,-1,10fe,049c,22a3,1a8c,44
28,0,2,8808bf00,08,88097aec,0008,266,134,1,-1,10f4,0358,218f,1640,27
28,0,3,8808c100,04,88097670,0008,256,135,1,-1,0ecf,08ca,1a7f,0fde,17
